3, 2, 1 .. GO!
Horse 18 starts.
Horse 0 starts.
Horse 14 starts.
Horse 7 starts.
Horse 1 starts.
Horse 6 starts.
Horse 8 starts.
Horse 5 starts.
Horse 3 starts.
Horse 13 starts.
Horse 4 starts.
Horse 12 starts.
Horse 9 starts.
Horse 19 starts.
Horse 16 starts.
Horse 10 starts.
Horse 17 starts.
Horse 11 starts.
Horse 15 starts.
Horse 2 starts.
Horse: 1, Lane: 0, Position: 2, Lap: 0
Horse: 0, Lane: 1, Position: 1, Lap: 0
Horse: 8, Lane: 9, Position: 1, Lap: 0
Horse: 14, Lane: 13, Position: 1, Lap: 0
Horse: 6, Lane: 5, Position: 1, Lap: 0
Horse: 3, Lane: 0, Position: 2, Lap: 0
Horse: 9, Lane: 10, Position: 1, Lap: 0
Horse: 12, Lane: 0, Position: 2, Lap: 0
Horse: 19, Lane: 19, Position: 1, Lap: 0
Horse: 17, Lane: 18, Position: 1, Lap: 0
Horse: 7, Lane: 6, Position: 1, Lap: 0
Horse: 5, Lane: 4, Position: 1, Lap: 0
Horse: 13, Lane: 0, Position: 2, Lap: 0
Horse: 16, Lane: 15, Position: 1, Lap: 0
Horse: 15, Lane: 0, Position: 2, Lap: 0
Horse: 4, Lane: 3, Position: 1, Lap: 0
Horse: 11, Lane: 0, Position: 2, Lap: 0
Horse: 10, Lane: 11, Position: 1, Lap: 0
Horse: 18, Lane: 0, Position: 2, Lap: 0
Horse: 2, Lane: 3, Position: 1, Lap: 0
Horse: 1, Lane: 1, Position: 3, Lap: 0
Horse: 0, Lane: 2, Position: 2, Lap: 0
Horse: 8, Lane: 9, Position: 3, Lap: 0
Horse: 14, Lane: 13, Position: 3, Lap: 0
Horse: 9, Lane: 9, Position: 2, Lap: 0
Horse: 6, Lane: 6, Position: 2, Lap: 0
Horse: 3, Lane: 0, Position: 4, Lap: 0
Horse: 12, Lane: 0, Position: 3, Lap: 0
Horse: 7, Lane: 6, Position: 3, Lap: 0
Horse: 19, Lane: 19, Position: 2, Lap: 0
Horse: 17, Lane: 17, Position: 2, Lap: 0
Horse: 5, Lane: 3, Position: 2, Lap: 0
Horse: 15, Lane: 1, Position: 3, Lap: 0
Horse: 16, Lane: 14, Position: 2, Lap: 0
Horse: 4, Lane: 3, Position: 3, Lap: 0
Horse: 13, Lane: 0, Position: 4, Lap: 0
Horse: 18, Lane: 0, Position: 3, Lap: 0
Horse: 10, Lane: 11, Position: 3, Lap: 0
Horse: 11, Lane: 1, Position: 3, Lap: 0
Horse: 2, Lane: 3, Position: 3, Lap: 0
Horse: 1, Lane: 1, Position: 5, Lap: 0
Horse: 8, Lane: 10, Position: 4, Lap: 0
Horse: 14, Lane: 12, Position: 4, Lap: 0
Horse: 3, Lane: 0, Position: 6, Lap: 0
Horse: 12, Lane: 0, Position: 5, Lap: 0
Horse: 9, Lane: 9, Position: 4, Lap: 0
Horse: 6, Lane: 5, Position: 3, Lap: 0
Horse: 16, Lane: 15, Position: 3, Lap: 0
Horse: 19, Lane: 18, Position: 3, Lap: 0
Horse: 18, Lane: 0, Position: 4, Lap: 0
Horse: 7, Lane: 5, Position: 4, Lap: 0
Horse: 5, Lane: 3, Position: 4, Lap: 0
Horse: 0, Lane: 3, Position: 3, Lap: 0
Horse: 10, Lane: 11, Position: 5, Lap: 0
Horse: 17, Lane: 18, Position: 3, Lap: 0
Horse: 2, Lane: 2, Position: 4, Lap: 0
Horse: 4, Lane: 2, Position: 4, Lap: 0
Horse: 15, Lane: 0, Position: 4, Lap: 0
Horse: 11, Lane: 2, Position: 4, Lap: 0
Horse: 13, Lane: 1, Position: 5, Lap: 0
Horse: 8, Lane: 11, Position: 5, Lap: 0
Horse: 14, Lane: 13, Position: 5, Lap: 0
Horse: 3, Lane: 0, Position: 7, Lap: 0
Horse: 16, Lane: 14, Position: 4, Lap: 0
Horse: 1, Lane: 0, Position: 6, Lap: 0
Horse: 6, Lane: 6, Position: 4, Lap: 0
Horse: 12, Lane: 0, Position: 6, Lap: 0
Horse: 7, Lane: 4, Position: 5, Lap: 0
Horse: 0, Lane: 2, Position: 4, Lap: 0
Horse: 17, Lane: 17, Position: 4, Lap: 0
Horse: 15, Lane: 0, Position: 5, Lap: 0
Horse: 5, Lane: 4, Position: 5, Lap: 0
Horse: 2, Lane: 3, Position: 5, Lap: 0
